record_id,insect_id,plant_name,plant_family,observation_type,plant_part,life_stage,reference,notes
1,species-0002,マキノゴケ,マキノゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
2,species-0003,マキノゴケ,マキノゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
3,species-0003,オオウロコゴケ,ウロコゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
4,species-0008,ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
5,species-0009,ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
6,species-0010,ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
7,species-0011,ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
8,species-0012,ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
9,species-0015,ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
10,species-0016,ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
11,species-0017,ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
12,species-0018,ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
13,species-0019,ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
14,species-0020,ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
15,species-0021,ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
16,species-0022,ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
17,species-0023,ジャゴケ,ジャゴケ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
18,species-0024,ブナ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
19,species-0025,シラカンバ,カバノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
