和名,学名,科名,亜科名,食草,成虫出現時期,備考,出典,品質レベル,由来ファイル
アオカメノコハムシ,Cassida rubiginosa,ハムシ科,,アザミ類,,,ハムシハンドブック,A,leafbeetle
アオガネサルハムシ,Nodina chalcosoma,ハムシ科,,フドウ、テリハノイバラ,,,ハムシハンドブック,A,leafbeetle
アオグロツヤハムシ,Oomorphoides nigrocaeruleus,ハムシ科,,タラノキ,,,ハムシハンドブック,A,leafbeetle
アカガネサルハムシ,Acrothinium gaschkevitchii,ハムシ科,,ノブドウ、エビヅル,,,ハムシハンドブック,A,leafbeetle
アカクビナガハムシ,Lilioceris subpolita,ハムシ科,,サルトリイバラ、シオデ,,,ハムシハンドブック,A,leafbeetle
アザミオオハムシ,Galeruca vicina,ハムシ科,,アザミ類,,,ハムシハンドブック,A,leafbeetle
アズキマメゾウムシ,Callosobruchus chinensis,ハムシ科,,アズキ,,,ハムシハンドブック,A,leafbeetle
アトボシハムシ,Paridea motschulskyi,ハムシ科,,アマチャヅル,,,ハムシハンドブック,A,leafbeetle
アワカクビボソハムシ,Lema diversa,ハムシ科,,ツユクサ,,,ハムシハンドブック,A,leafbeetle
アワクビボソハムシ,Oulema dilutipes,ハムシ科,,ロクザサ,,,ハムシハンドブック,A,leafbeetle
イクビマメゾウムシ,Bruchidhus fulvipes,ハムシ科,,クズ、フジ、ヌスビトハギ,,,ハムシハンドブック,A,leafbeetle
イタドリハムシ,Galerucida bifasciata,ハムシ科,,イタドリ,,,ハムシハンドブック,A,leafbeetle
イタヤハムシ,Pyrrhalta fuscipennis,ハムシ科,,カエデ類,,,ハムシハンドブック,A,leafbeetle
イチゴハムシ,Galerucella grisescens,ハムシ科,,キジムシロ、ミツバツチグリ、オヘビイチゴ,,,ハムシハンドブック,A,leafbeetle
イチモンジカメノコハムシ,Thlaspida biramosa,ハムシ科,,ヤブムラサキ、ムラサキシキブ,,,ハムシハンドブック,A,leafbeetle
イチモンジハムシ,Morphosphaera japonica,ハムシ科,,イチモンジカズラ,,,ハムシハンドブック,A,leafbeetle
イッシキトゲハムシ,Dactylispa issikii,ハムシ科,,タケ類,,,ハムシハンドブック,A,leafbeetle
イネクビボソハムシ,Oulema oryzae,ハムシ科,,イネ,,,ハムシハンドブック,A,leafbeetle
イモサルハムシ,Colasposoma dauricum,ハムシ科,,サツマイモ,,,ハムシハンドブック,A,leafbeetle
インゲンマメゾウムシ,Acanthoscelides obtectus,ハムシ科,,インゲン豆,,,ハムシハンドブック,A,leafbeetle
ウエブキケブカハムシ,Chujoa uetsukii,ハムシ科,,シオデ、タケニグサ,,,ハムシハンドブック,A,leafbeetle
ウスイロサルハムシ,Basilepta pallidulum,ハムシ科,,コナラ、クリ,,,ハムシハンドブック,A,leafbeetle
ウリハムシ,Aulacophora indica,ハムシ科,,カボチャ (ウリ類),,,ハムシハンドブック,A,leafbeetle
エノキハムシ,Pyrrhalta tibialis,ハムシ科,,エノキ,,,ハムシハンドブック,A,leafbeetle
エンジュマメゾウムシ,Bruchidius sophorae,ハムシ科,,エンジュ,,,ハムシハンドブック,A,leafbeetle
オオカクムネトビハムシ,Neocrepidodera obscuritarsis,ハムシ科,,ミソソバ,,,ハムシハンドブック,A,leafbeetle
オオキイロマルノミハムシ,Argopus balyi,ハムシ科,,ボタンヅル,,,ハムシハンドブック,A,leafbeetle
オオクビボソハムシ,Lema pectoralis,ハムシ科,,コウトウシラン,,,ハムシハンドブック,A,leafbeetle
オオサルハムシ,Chrysochus chinensis,ハムシ科,,イヨカズラ、ガガイモ、シロバナカモメヅル、サツマイモ,,,ハムシハンドブック,A,leafbeetle
オオバコトビハムシ,Longitarsus scutellaris,ハムシ科,,オオバコ類,,,ハムシハンドブック,A,leafbeetle
カクムネトビハムシ,Neocrepidodera laevicollis,ハムシ科,,アキタデ,,,ハムシハンドブック,A,leafbeetle
カタビロトゲハムシ,Dactylispa subquadrata,ハムシ科,,ススキ、アラカシ,,,ハムシハンドブック,A,leafbeetle
カメノコハムシ,Cassida nebulosa,ハムシ科,,ヒルガオ科,,,ハムシハンドブック,A,leafbeetle
ガマズミトビハムシ,Gopla gamazumii,ハムシ科,,ガマズミ、ヤブウツギ,,,ハムシハンドブック,A,leafbeetle
キアシヒゲナガアオハムシ,Clerotilia flavomarginata,ハムシ科,,クマヤナギ,,,ハムシハンドブック,A,leafbeetle
キイロクビナガハムシ,Lilioceris lugens,ハムシ科,,ヤマノイモ、オニドコロ,,,ハムシハンドブック,A,leafbeetle
キイロホソハムシ,Lema coronata,ハムシ科,,アゼガヤ,,,ハムシハンドブック,A,leafbeetle
キクカサハムシ,Xanthonia placida,ハムシ科,,ハマギク,,,ハムシハンドブック,A,leafbeetle
キスジノミハムシ,Luperomorpha vittata,ハムシ科,,ダイコン、カブ,,,ハムシハンドブック,A,leafbeetle
キバネマルノミハムシ,Hemipyxis plagioderoides,ハムシ科,,ネズミモチ,,,ハムシハンドブック,A,leafbeetle
キバラツメヒメハムシ,Exosoma flaviventre,ハムシ科,,ネジリグサ,,,ハムシハンドブック,A,leafbeetle
キバラルリクビボソハムシ,Lema concinnipennis,ハムシ科,,ツユクサ,,,ハムシハンドブック,A,leafbeetle
キベリクビボソハムシ,Lema adamsii,ハムシ科,,ヤマノイモ,,,ハムシハンドブック,A,leafbeetle
キボシツツハムシ,Cryptocephalus perelegans,ハムシ科,,マメ科のミヤギノハギ,,,ハムシハンドブック,A,leafbeetle
キリガミネハムシ,Chrysolina kirigaminensis,ハムシ科,,ヒメシロネ,,,ハムシハンドブック,A,leafbeetle
キンイロネクイハムシ,Donacia splendens,ハムシ科,,ミクリ類,,,ハムシハンドブック,A,leafbeetle
クソトビハムシ,Psylliodes scripta,ハムシ科,,ノブドウ,,,ハムシハンドブック,A,leafbeetle
クリオホソハムシ,Crioceris quatuordecimpunctata,ハムシ科,,アスパラガス、クサスギカズラ,,,ハムシハンドブック,A,leafbeetle
クロオバハムシ,Euliroetis clathrata,ハムシ科,,キハダ、ヒメイズイ,,,ハムシハンドブック,A,leafbeetle
クロオビタカハシハムシ,Hyperaxis fasciata,ハムシ科,,コナラ,,,ハムシハンドブック,A,leafbeetle
クロオビハムシ,Physosmaragdia nigrifrons,ハムシ科,,ドリ、マルバハギ,,,ハムシハンドブック,A,leafbeetle
クロズトビハムシ,Trachyaphthona sordida,ハムシ科,,ガマズミ,,,ハムシハンドブック,A,leafbeetle
クロボシツツハムシ,Cryptocephalus signaticeps,ハムシ科,,ナシ、クリ,,,ハムシハンドブック,A,leafbeetle
クワノミハムシ,Luperomorpha funesta,ハムシ科,,クワ、サトイモ類、タデ、ナズナ、サトウダイコン、ナス,,,ハムシハンドブック,A,leafbeetle
コブハムシ,Chlamisus chujoi,ハムシ科,,ツツジ類,,,ハムシハンドブック,A,leafbeetle
サイカチマメゾウムシ,Megabruchidius dorsalis,ハムシ科,,サイカチ,,,ハムシハンドブック,A,leafbeetle
サクラサルハムシ,Basilepta sacrum,ハムシ科,,サクラ、ウメ、ナシ、リンゴ,,,ハムシハンドブック,A,leafbeetle
ササハムシ,Demotina modesta,ハムシ科,,クヌギ,,,ハムシハンドブック,A,leafbeetle
サムライマメゾウムシ,Bruchidius urbanus,ハムシ科,,サイカチ、ジャケツイバラ、カワラケツメイ,,,ハムシハンドブック,A,leafbeetle
サンゴジュハムシ,Pyrrhalta humeralis,ハムシ科,,サンゴジュ,,,ハムシハンドブック,A,leafbeetle
ジュウシホシツツハムシ,Cryptocephalus tetradecaspilus,ハムシ科,,オカトラノオ,,,ハムシハンドブック,A,leafbeetle
ジンガサハムシ,Aspidimorpha indica,ハムシ科,,アサガオ,,,ハムシハンドブック,A,leafbeetle
スイバトビハムシ,Mantura clavareaui,ハムシ科,,スイバ、ギシギシ,,,ハムシハンドブック,A,leafbeetle
スゲハムシ (キスジツヤハムシ),Plateumaris sericea,ハムシ科,,スゲ類,,,ハムシハンドブック,A,leafbeetle
スジカミナリハムシ,Attica laeta,ハムシ科,,ハギ類,,,ハムシハンドブック,A,leafbeetle
ズグロキハムシ,Gastrobrodina japonicus,ハムシ科,,イヌシデ,,,ハムシハンドブック,A,leafbeetle
セスジツツハムシ,Cryptocephalus parvulus,ハムシ科,,カンバ類、ヤナギ、ミズナラ,,,ハムシハンドブック,A,leafbeetle
セモンジンガサハムシ,Thlaspida cribrosa,ハムシ科,,ボタンヅル,,,ハムシハンドブック,A,leafbeetle
タバコノミハムシ,Epitrix hirtipennis,ハムシ科,,タバコナス科植物,,,ハムシハンドブック,A,leafbeetle
タマツツハムシ,Adiscus lewisii,ハムシ科,,クヌギ、コナラ、ヤマハギ,,,ハムシハンドブック,A,leafbeetle
ダイコンハムシ,Phaedon brassicae,ハムシ科,,アブラナ科野菜,,,ハムシハンドブック,A,leafbeetle
チビヒゲナガハムシ,Demotina decorata,ハムシ科,,コナラ,,,ハムシハンドブック,A,leafbeetle
チャバネツヤトビハムシ,Phygasia fulvipennis,ハムシ科,,カガイモ,,,ハムシハンドブック,A,leafbeetle
ツヤハムシ,Oomorphoides cupreatus,ハムシ科,,タラノキ,,,ハムシハンドブック,A,leafbeetle
トゲアシクビボソハムシ,Lema diversa,ハムシ科,,ツユクサ,,,ハムシハンドブック,A,leafbeetle
トホシハムシ,Linaeidea formosana,ハムシ科,,ヤマナラシ,,,ハムシハンドブック,A,leafbeetle
ナガトビハムシ,Liprus punctatostriatus,ハムシ科,,ギボウシ,,,ハムシハンドブック,A,leafbeetle
ナトビハムシ,Psylliodes punctifrons,ハムシ科,,アブラナ科植物,,,ハムシハンドブック,A,leafbeetle
ニレハムシ,Xanthogaleruca maculicollis,ハムシ科,ヒゲナガハムシ亜科,ニレ類、ケヤキ,4~10月,,ハムシハンドブック,A,hamushi
ニレハムシ (ニレウスバハムシ),Pyrrhalta maculicollis,ハムシ科,,ケヤキ,,,ハムシハンドブック,A,leafbeetle
ネクイハムシ,Donacia provostii,ハムシ科,,イネ科・カヤツリグサ科植物の根,,,ハムシハンドブック,A,leafbeetle
ハギツツハムシ,Pachybrachis eruditus,ハムシ科,,ハギ類、ヤナギ類,,,ハムシハンドブック,A,leafbeetle
ハッカハムシ,Chrysolina exanthematica,ハムシ科,,ハッカ,,,ハムシハンドブック,A,leafbeetle
ハラグロヒメハムシ,Calomicrus cyanipennis,ハムシ科,,キブシ,,,ハムシハンドブック,A,leafbeetle
ハンノキハムシ,Agelastica coerulea,ハムシ科,,ハンノキ,,,ハムシハンドブック,A,leafbeetle
バラルリツツハムシ,Cryptocephalus approximatus,ハムシ科,,イタドリ,,,ハムシハンドブック,A,leafbeetle
ヒゲナガガハムシ (サンタケダデハムシ),Pyrrhalta viburni,ハムシ科,,サクラ,,,ハムシハンドブック,A,leafbeetle
ヒゲナガマルノミハムシ,Hemipyxis hegenagae,ハムシ科,,テンニンソウ,,,ハムシハンドブック,A,leafbeetle
ヒゴトゲハムシ,Hispellinus moerens,ハムシ科,,ムラサキシキブ,,,ハムシハンドブック,A,leafbeetle
ヒサゴトビハムシ,Chaetocnema ingenua,ハムシ科,,メヒシバ,,,ハムシハンドブック,A,leafbeetle
ヒメカメノコハムシ,Laccoptera quadrimaculata,ハムシ科,,サツマイモ、アサガオ,,,ハムシハンドブック,A,leafbeetle
ヒメジンガサハムシ,Cassida fuscorufa,ハムシ科,,ヨモギ類,,,ハムシハンドブック,A,leafbeetle
フェモラータオオモモブトハムシ,Sagra femorata,ハムシ科,,クズ、ヒルガオ科、ヤブマメ、ノイバラ、ヤブコウジ,,,ハムシハンドブック,A,leafbeetle
フジハムシ,Medythia nigrobilineata,ハムシ科,,ダイズ,,,ハムシハンドブック,A,leafbeetle
フタホシオオノミハムシ,Pseudodera xanthospila,ハムシ科,,サルトリイバラ,,,ハムシハンドブック,A,leafbeetle
ブタクサハムシ,Ophraella communa,ハムシ科,,ブタクサ,,,ハムシハンドブック,A,leafbeetle
ブチヒゲケブカハムシ,Pyrrhalta annulicornis,ハムシ科,,ガマズミ,,,ハムシハンドブック,A,leafbeetle
ブドウサルハムシ,Bromius obscurus,ハムシ科,,ブドウ,,,ハムシハンドブック,A,leafbeetle
ヘリグロテントウノミハムシ,Argopistes coccinelliformis,ハムシ科,,ラズベリー、モクセイ、ヒイラギモクセイ、キンモクセイ、イボタ,,,ハムシハンドブック,A,leafbeetle
ホソハムシ,Syneta adamsi,ハムシ科,,記載なし,,,ハムシハンドブック,A,leafbeetle
ホタルハムシ,Monolepta dichroa,ハムシ科,,ヨモギ、ヨメナ、タデ類,,,ハムシハンドブック,A,leafbeetle
マダラアラゲサルハムシ,Demotina fasciculata,ハムシ科,,チャノキ,,,ハムシハンドブック,A,leafbeetle
ミドリカメノコハムシ,Cassida erudita,ハムシ科,,アキチョウジ、ヒメシロネ、カメバヒキオコシ、ウツボグサ,,,ハムシハンドブック,A,leafbeetle
ミヤマヒラタハムシ,Gastrolina peltoidea,ハムシ科,,クルミ、ヤシャブシ,,,ハムシハンドブック,A,leafbeetle
ムシクソハムシ,Chlamisus spilotus,ハムシ科,,ヤナギ類、サクラ、ミズキ、ウツギ類,,,ハムシハンドブック,A,leafbeetle
ムナグロツヤハムシ,Arthrotus niger,ハムシ科,,ハンノキ、ヤシャブシ、イタヤカエデ,,,ハムシハンドブック,A,leafbeetle
ムネアカアオサルハムシ,Pagria consimilis,ハムシ科,,クズ,,,ハムシハンドブック,A,leafbeetle
ムネアカサルハムシ,Basilepta ruficollis,ハムシ科,,クマイチゴ、クリ,,,ハムシハンドブック,A,leafbeetle
ヤツボシツツハムシ,Cryptocephalus japanus,ハムシ科,,イタドリ,,,ハムシハンドブック,A,leafbeetle
ヤナギドロノハムシ,Gonioctena (Gonioctena) nirogronotata,ハムシ科,,ヤナギの葉,,,ハムシハンドブック,A,leafbeetle
ヤナギハムシ,Chrysomela vigintipunctata,ハムシ科,,ヤナギ類,,,ハムシハンドブック,A,leafbeetle
ヤナギルリハムシ,Plagiodera versicolora,ハムシ科,,ヤナギ類,,,ハムシハンドブック,A,leafbeetle
ヨコグロケブカサルハムシ,Fidia pubicollis,ハムシ科,,ウメ,,,ハムシハンドブック,A,leafbeetle
ヨツボシツツハムシ,Cryptocephalus instabilis,ハムシ科,,ヤナギ類,,,ハムシハンドブック,A,leafbeetle
ヨツボシハムシ,Paridea quadriplagiata,ハムシ科,,シラヤマギク、ヨメナ,,,ハムシハンドブック,A,leafbeetle
ヨツモンクロツツハムシ,Cryptocephalus nobilis,ハムシ科,,クヌギ,,,ハムシハンドブック,A,leafbeetle
ヨツモンマメゾウムシ,Callosobruchus maculatus,ハムシ科,,ササゲ、アズキ,,,ハムシハンドブック,A,leafbeetle
ルイスクビナガハムシ,Lilioceris lewisi,ハムシ科,,マイヅルソウ、ナルコユリ,,,ハムシハンドブック,A,leafbeetle
ルリハムシ,Plagiosterna aenea,ハムシ科,,ハンノキ,,,ハムシハンドブック,A,leafbeetle
アイヌツツハムシ,Cryptocephalus (Asionus),ハムシ科,ツツハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アオカメノコハムシ　対馬亜種,Cassida rubiginosa,ハムシ科,カメノコハムシ亜科,アザミ類,4~9月,,ハムシ目録データベース,B,hamushi
アオガネヒメサルハムシ,Nodina chalcosoma,ハムシ科,サルハムシ亜科,ブドウ、テリハノイバラ、ノボタン,6~7月,,ハムシ目録データベース,B,hamushi
アオチビツツハムシ,Melixanthus pumilio,ハムシ科,ツツハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アオノネクイハムシ,Donacia (Donaciomima),ハムシ科,ネクイハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アオバアシナガハムシ,Monolepta fulvicollis,ハムシ科,ヒゲナガハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アオバドウガネトビハムシ,Chaetocnema (Tlanoma),ハムシ科,ヒゲナガハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アオバネサルハムシ,Basilepta fulvipes,ハムシ科,サルハムシ亜科,ヨモギ,6~7月,,ハムシ目録データベース,B,hamushi
アオバノコヒゲハムシ,Sphenoraia intermedia,ハムシ科,ヒゲナガハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アオバヒゲナガハムシ,Dercetina azumai,ハムシ科,ヒゲナガハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アオバヒメハムシ,Epaenidea elegans,ハムシ科,ヒゲナガハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アオバホソハムシ,Apophylia viridipennis,ハムシ科,ヒゲナガハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アカアシナガトビハムシ,Longitarsus (Longitarsus),ハムシ科,ヒゲナガハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アカイロマルノミハムシ,Argopus punctipennis,ハムシ科,ヒゲナガハムシ亜科,アザミ類,4~10月,,ハムシ目録データベース,B,hamushi
アカガネサルハムシ　吐噶喇亜種,Acrothinium gaschkevitchii,ハムシ科,サルハムシ亜科,ノブドウ、エビツル、ブドウ,4~7月,,ハムシ目録データベース,B,hamushi
アカガネサルハムシ　奄美亜種,Acrothinium gaschkevitchii,ハムシ科,サルハムシ亜科,ノブドウ、エビツル、ブドウ,4~7月,,ハムシ目録データベース,B,hamushi
アカガネサルハムシ　沖永良部島亜種,Acrothinium gaschkevitchii,ハムシ科,サルハムシ亜科,ノブドウ、エビツル、ブドウ,4~7月,,ハムシ目録データベース,B,hamushi
アカガネサルハムシ　沖縄亜種,Acrothinium gaschkevitchii,ハムシ科,サルハムシ亜科,ノブドウ、エビツル、ブドウ,4~7月,,ハムシ目録データベース,B,hamushi
アカガネトビハムシ,Hippuriphila babai,ハムシ科,ヒゲナガハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アカガネネクイハムシ,Donacia (Donaciomima),ハムシ科,ネクイハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アカクビボソハムシ,Lema (Lema),ハムシ科,クビボソハムシ亜科,ツユクサ,4~11月,,ハムシ目録データベース,B,hamushi
アカタデハムシ,Pyrrhalta semifulva,ハムシ科,ヒゲナガハムシ亜科,サクラ、トサミズキ,4~9月,,ハムシ目録データベース,B,hamushi
アカチャサルハムシ,Osnaparis nucea,ハムシ科,サルハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アカバナカミナリハムシ,Altica oleracea,ハムシ科,ヒゲナガハムシ亜科,オオマツヨイグサ、ヤナギラン、アカバナ,3~11月,,ハムシ目録データベース,B,hamushi
アカバネタマノミハムシ,Sphaeroderma nigricolle,ハムシ科,ヒゲナガハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アカヒラタカメノコハムシ,Notosacantha ihai,ハムシ科,カメノコハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アカムネチビツツハムシ,Cryptocephalus (Burlinius),ハムシ科,ツツハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アキミズクサハムシ,Plateumaris akiensis,ハムシ科,ネクイハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アケビタマノミハムシ,Sphaeroderma akebia,ハムシ科,ヒゲナガハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アサトビハムシ,Psylliodes (Psylliodes),ハムシ科,ヒゲナガハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アザミカミナリハムシ,Altica cirsicola,ハムシ科,ヒゲナガハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アザミナガツツハムシ,Smaragdina quadratomaculata,ハムシ科,ツツハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アシボソネクイハムシ,Donacia (Donaciomima),ハムシ科,ネクイハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アジサイカクムネトビハムシ,Neocrepidodera satoi,ハムシ科,ヒゲナガハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アトスジヒメハムシ,Charaea costatum,ハムシ科,ヒゲナガハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アマミアラハダトビハムシ,Trachytetra amamiana,ハムシ科,ヒゲナガハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アマミウスバハムシ,Menippus issikii,ハムシ科,ヒゲナガハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アマミカバイロハムシ,Gallerucida oshimana,ハムシ科,ヒゲナガハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アマミキバラヒメハムシ,Taphinellina amamiensis,ハムシ科,ヒゲナガハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アマミコダマトビハムシ,Ivalia kodama,ハムシ科,ヒゲナガハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アマミコブハムシ,Chlamisus geniculatus,ハムシ科,ツツハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アマミツブノミハムシ,Aphthona amamiana,ハムシ科,ヒゲナガハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アマミホソトビハムシ,Luperomorpha amamiana,ハムシ科,ヒゲナガハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アマミミドリサルハムシ,Colaspoides amamianus,ハムシ科,サルハムシ亜科,不明,,,ハムシ目録データベース,B,hamushi
アヤメツブノミハムシ,Aphthona interstitialis,ハムシ科,ヒゲナガハムシ亜科,ハナショウブ、シャガ、アヤメ類,4~9月,,ハムシ目録データベース,B,hamushi
